,carat,cut,color,clarity,depth,table,price,x,y,z
31,0.23,2,2,4,59.8,57.0,402,4.04,4.06,2.42
32,0.23,2,1,4,60.7,59.0,402,3.97,4.01,2.42
33,0.23,2,1,4,59.5,58.0,402,4.01,4.06,2.4
34,0.23,2,0,4,61.9,58.0,402,3.92,3.96,2.44
37,0.31,3,4,6,64.0,54.0,402,4.29,4.31,2.75
38,0.26,2,0,5,60.8,59.0,403,4.13,4.16,2.52
39,0.33,0,5,7,61.8,55.0,403,4.49,4.51,2.78
40,0.33,0,5,7,61.2,56.0,403,4.49,4.5,2.75
41,0.33,0,6,6,61.1,56.0,403,4.49,4.55,2.76
44,0.32,3,4,7,63.1,56.0,403,4.34,4.37,2.75
45,0.29,1,2,6,62.4,58.0,403,4.24,4.26,2.65
46,0.32,2,4,7,61.8,55.0,403,4.35,4.42,2.71
47,0.32,3,4,7,63.8,56.0,403,4.36,4.38,2.79
48,0.25,2,1,5,63.3,60.0,404,4.0,4.03,2.54
49,0.29,2,4,7,60.7,60.0,404,4.33,4.37,2.64
50,0.24,2,2,6,60.9,61.0,404,4.02,4.03,2.45
51,0.23,0,3,4,61.9,54.0,404,3.93,3.95,2.44
52,0.32,0,5,6,60.9,55.0,404,4.45,4.48,2.72
53,0.22,1,1,5,61.6,58.0,404,3.93,3.89,2.41
54,0.22,1,0,5,59.3,62.0,404,3.91,3.88,2.31
55,0.3,0,5,7,61.0,59.0,405,4.3,4.33,2.63
56,0.3,1,6,7,59.3,61.0,405,4.43,4.38,2.61
57,0.3,2,5,6,62.6,57.0,405,4.25,4.28,2.67
58,0.3,2,5,6,63.0,57.0,405,4.28,4.32,2.71
59,0.3,3,5,6,63.2,55.0,405,4.25,4.29,2.7
60,0.35,0,5,4,60.9,57.0,552,4.54,4.59,2.78
61,0.3,1,0,6,62.6,59.0,552,4.23,4.27,2.66
62,0.3,0,0,6,62.5,57.0,552,4.29,4.32,2.69
63,0.3,0,0,6,62.1,56.0,552,4.3,4.33,2.68
64,0.42,1,5,7,61.5,59.0,552,4.78,4.84,2.96
65,0.28,0,3,3,61.4,56.0,553,4.19,4.22,2.58
66,0.32,0,5,2,62.0,55.3,553,4.39,4.42,2.73
67,0.31,2,3,6,63.3,57.0,553,4.33,4.3,2.73
68,0.31,1,3,6,61.8,58.0,553,4.35,4.32,2.68
69,0.24,1,1,2,60.7,58.0,553,4.01,4.03,2.44
70,0.24,2,0,2,61.5,60.0,553,3.97,4.0,2.45
71,0.3,2,4,6,63.1,56.0,554,4.29,4.27,2.7
72,0.3,1,4,6,62.9,59.0,554,4.28,4.24,2.68
73,0.3,1,4,6,62.5,57.0,554,4.29,4.25,2.67
74,0.3,3,4,6,63.7,57.0,554,4.28,4.26,2.72
75,0.26,2,2,3,59.2,60.0,554,4.19,4.22,2.49
76,0.26,2,1,3,59.9,58.0,554,4.15,4.23,2.51
77,0.26,2,0,3,62.4,54.0,554,4.08,4.13,2.56
78,0.26,2,0,3,62.8,60.0,554,4.01,4.05,2.53
79,0.26,2,1,2,62.6,59.0,554,4.06,4.09,2.55
80,0.26,2,1,2,63.4,59.0,554,4.0,4.04,2.55
81,0.26,2,0,2,62.1,60.0,554,4.03,4.12,2.53
82,0.26,0,1,3,62.9,58.0,554,4.02,4.06,2.54
83,0.38,0,5,7,61.6,56.0,554,4.65,4.67,2.87
85,0.24,1,3,2,62.3,59.0,554,3.95,3.92,2.45
86,0.24,1,4,2,61.2,58.0,554,4.01,3.96,2.44
87,0.24,1,4,2,60.8,59.0,554,4.02,4.0,2.44
88,0.24,1,4,3,60.7,58.0,554,4.07,4.04,2.46
89,0.32,1,5,6,62.9,58.0,554,4.35,4.33,2.73
390,0.32,1,5,6,62.7,58.0,554,4.37,4.34,2.73
391,0.32,1,5,6,62.8,58.0,554,4.39,4.34,2.74
392,0.32,0,5,6,62.4,57.0,554,4.37,4.35,2.72
393,0.32,1,5,6,61.0,59.0,554,4.39,4.36,2.67
394,0.32,2,5,6,63.1,56.0,554,4.39,4.36,2.76
395,0.32,0,5,6,60.7,57.0,554,4.47,4.42,2.7
396,0.3,1,4,6,60.9,59.0,554,4.31,4.29,2.62
397,0.3,1,4,6,60.1,55.0,554,4.41,4.38,2.64
398,0.3,1,4,6,62.9,58.0,554,4.28,4.24,2.68
399,0.3,2,4,6,63.3,56.0,554,4.29,4.27,2.71
400,0.3,3,4,6,63.8,55.0,554,4.26,4.2,2.7
401,0.3,0,4,6,62.9,57.0,554,4.27,4.22,2.67
402,0.3,2,4,6,63.4,60.0,554,4.25,4.23,2.69
403,0.32,3,5,6,63.9,55.0,554,4.36,4.34,2.78
404,0.33,0,4,7,61.4,56.0,554,4.85,4.79,2.95
405,0.29,2,1,4,61.9,55.0,555,4.28,4.33,2.66
406,0.29,2,1,4,62.4,55.0,555,4.2,4.25,2.63
407,0.31,2,2,6,61.8,58.0,555,4.32,4.35,2.68
408,0.34,0,4,5,61.5,56.0,555,4.47,4.5,2.76
409,0.34,0,4,5,60.4,57.0,555,4.54,4.57,2.75
410,0.34,0,5,4,61.8,55.0,555,4.48,4.52,2.78
411,0.34,0,5,4,62.0,56.0,555,4.5,4.53,2.8
412,0.3,0,3,4,62.3,56.0,555,4.29,4.31,2.68
413,0.29,0,2,4,61.6,56.0,555,4.26,4.31,2.64
414,0.35,0,3,6,60.6,56.0,555,4.56,4.58,2.77
416,0.32,2,2,5,61.4,58.0,556,4.37,4.42,2.7
417,0.36,0,5,5,61.9,56.0,556,4.54,4.57,2.82
418,0.3,0,3,5,62.0,56.0,556,4.28,4.3,2.66
419,0.26,0,1,4,61.5,57.0,556,4.09,4.12,2.52
720,0.26,0,1,4,62.3,57.0,556,4.05,4.08,2.53
721,0.26,0,1,4,62.1,56.0,556,4.09,4.12,2.55
722,0.36,0,4,6,61.9,55.0,556,4.57,4.59,2.83
724,0.34,3,1,6,63.3,57.0,556,4.44,4.47,2.82
725,0.34,3,1,6,63.5,55.0,556,4.44,4.47,2.83
726,0.34,3,1,6,63.4,55.0,556,4.44,4.46,2.82
727,0.34,2,3,5,59.6,62.0,556,4.54,4.56,2.71
728,0.34,0,1,6,62.2,54.0,556,4.47,4.5,2.79
730,0.31,0,5,2,61.6,55.0,557,4.36,4.41,2.7
731,0.31,0,5,2,61.3,56.0,557,4.36,4.38,2.68
732,0.31,0,5,2,62.3,54.0,557,4.37,4.4,2.73
733,0.31,0,5,2,62.0,54.0,557,4.37,4.4,2.72
734,0.31,0,5,2,62.7,53.0,557,4.33,4.35,2.72
735,0.31,0,5,2,62.2,53.0,557,4.36,4.38,2.72
736,0.31,0,3,5,62.2,53.6,557,4.32,4.35,2.7
737,0.31,0,4,4,61.6,54.8,557,4.35,4.37,2.69
738,0.31,0,4,4,61.8,54.2,557,4.33,4.37,2.69
739,0.33,1,3,7,59.4,59.0,557,4.52,4.5,2.68
740,0.33,1,2,7,62.3,58.0,557,4.43,4.4,2.75
741,0.33,1,3,7,62.6,58.0,557,4.42,4.4,2.76
742,0.33,0,3,7,61.9,56.0,557,4.45,4.41,2.74
743,0.33,1,2,7,63.0,58.0,557,4.42,4.4,2.78
744,0.33,1,6,4,62.8,58.0,557,4.41,4.38,2.76
745,0.33,1,6,4,61.5,61.0,557,4.46,4.39,2.72
746,0.33,0,6,4,62.1,55.0,557,4.44,4.41,2.75
747,0.33,0,5,6,63.0,57.0,557,4.39,4.37,2.76
748,0.33,3,5,6,63.6,53.0,557,4.43,4.4,2.81
749,0.33,1,5,6,60.4,59.0,557,4.54,4.5,2.73
1050,0.33,0,3,7,62.9,55.0,557,4.46,4.41,2.79
1051,0.39,0,4,7,61.5,57.0,558,4.66,4.7,2.88
1052,0.32,0,0,6,61.3,55.0,558,4.41,4.46,2.72
1053,0.25,1,2,4,61.2,59.0,558,4.05,4.02,2.47
1054,0.25,3,2,4,63.6,57.0,558,4.04,4.01,2.56
1055,0.25,1,1,4,60.7,59.0,558,4.13,4.11,2.5
1056,0.25,1,1,4,61.5,60.0,558,4.04,4.02,2.48
1057,0.31,1,5,5,60.8,58.0,558,4.37,4.34,2.65
1058,0.31,1,5,5,59.8,60.0,558,4.42,4.38,2.63
1059,0.31,2,5,5,63.2,55.0,558,4.4,4.3,2.75
1060,0.31,1,5,5,62.3,57.0,558,4.35,4.32,2.7
1062,0.31,1,4,6,62.7,58.0,558,4.34,4.31,2.71
1063,0.31,0,1,7,61.7,56.0,558,4.4,4.35,2.7
1064,0.31,0,1,7,60.1,57.0,558,4.44,4.41,2.66
1065,0.31,0,1,7,61.3,55.0,558,4.37,4.34,2.67
1066,0.31,1,5,5,60.8,60.0,558,4.42,4.37,2.67
1067,0.31,0,5,5,59.9,57.0,558,4.4,4.38,2.63
1068,0.31,1,5,5,59.9,60.0,558,4.44,4.41,2.65
1069,0.31,1,5,5,61.1,58.0,558,4.38,4.36,2.67
1070,0.31,1,5,5,60.7,61.0,558,4.34,4.32,2.63
1071,0.31,2,5,5,63.1,54.0,558,4.34,4.31,2.73
1072,0.31,1,5,5,62.3,60.0,558,4.32,4.31,2.69
1073,0.31,1,4,6,61.7,59.0,558,4.39,4.36,2.7
1074,0.31,1,4,6,61.0,61.0,558,4.39,4.33,2.66
1075,0.31,3,4,6,63.6,57.0,558,4.31,4.28,2.73
1076,0.31,1,4,6,62.4,57.0,558,4.35,4.31,2.7
1077,0.31,1,4,6,62.8,58.0,558,4.32,4.28,2.7
1078,0.31,0,4,6,62.9,56.0,558,4.31,4.27,2.7
1079,0.31,1,1,7,60.9,60.0,558,4.38,4.35,2.66
1380,0.31,1,1,7,60.8,61.0,558,4.43,4.39,2.68
1381,0.31,1,1,7,61.2,61.0,558,4.37,4.36,2.67
1382,0.31,0,3,7,61.4,55.0,558,4.39,4.37,2.69
1383,0.3,2,4,3,62.0,56.0,559,4.28,4.3,2.66
1384,0.31,2,3,5,62.6,56.0,559,4.33,4.37,2.72
1385,0.31,2,3,5,61.4,55.0,559,4.38,4.41,2.69
1386,0.31,2,3,5,60.9,57.0,559,4.37,4.39,2.67
1387,0.24,0,3,2,62.4,56.0,559,3.97,3.99,2.48
1388,0.24,0,3,2,62.1,56.0,559,3.97,4.0,2.47
1389,0.24,0,3,2,62.2,56.0,559,4.0,4.04,2.5
1390,0.24,0,3,2,62.0,55.0,559,4.01,4.03,2.49
1391,0.24,0,3,2,62.0,56.0,559,3.97,4.01,2.47
1392,0.32,0,1,6,61.9,55.0,559,4.4,4.43,2.73
1393,0.32,0,1,6,61.0,56.0,559,4.41,4.45,2.7
1394,0.24,0,3,1,61.7,56.0,559,3.99,4.01,2.47
1395,0.24,0,3,1,60.8,58.0,559,4.01,4.05,2.44
1396,0.24,0,3,1,61.8,55.0,559,3.99,4.02,2.47
1397,0.24,0,3,1,61.6,57.0,559,3.99,4.02,2.46
1398,0.24,0,3,1,61.3,57.0,559,4.0,4.03,2.46
1399,0.32,0,3,4,62.3,55.0,559,4.39,4.41,2.74
1400,0.32,0,3,4,61.8,55.0,559,4.42,4.45,2.74
1401,0.25,2,1,3,62.0,56.0,560,4.05,4.08,2.52
1402,0.25,2,1,2,61.5,56.0,560,4.06,4.08,2.5
1403,0.25,2,2,1,61.5,56.0,560,4.04,4.06,2.48
1404,0.27,2,2,1,60.4,58.0,560,4.18,4.2,2.53
1405,0.32,0,3,5,61.6,54.0,560,4.4,4.43,2.72
1406,0.36,0,2,6,61.6,56.0,560,4.57,4.62,2.83
1407,0.41,0,5,6,61.7,55.0,561,4.77,4.8,2.95
1408,0.32,1,4,4,60.2,58.0,561,4.43,4.47,2.68
1409,0.32,0,4,4,61.5,57.0,561,4.4,4.42,2.71
1710,0.32,3,1,6,63.3,56.0,561,4.34,4.35,2.75
1711,0.32,1,3,5,60.5,58.0,561,4.41,4.42,2.67
1712,0.4,3,4,7,63.7,59.0,561,4.64,4.69,2.97
1713,0.32,1,3,5,62.5,60.0,561,4.32,4.38,2.72
1714,0.32,0,3,5,61.4,56.0,561,4.37,4.39,2.69
1715,0.32,1,3,5,59.8,59.0,561,4.48,4.52,2.69
1716,0.32,1,5,3,60.7,59.0,561,4.4,4.43,2.68
1717,0.32,2,3,5,60.2,57.0,561,4.42,4.45,2.67
1718,0.32,3,3,5,63.3,54.0,561,4.36,4.39,2.77
1719,0.32,3,4,4,63.1,57.0,561,4.34,4.37,2.75
1720,0.32,0,3,5,61.4,55.0,561,4.4,4.46,2.72
1721,0.32,0,3,5,59.8,57.0,561,4.43,4.46,2.66
1722,0.32,0,3,5,61.7,57.0,561,4.38,4.4,2.71
1723,0.32,1,4,4,62.3,58.0,561,4.34,4.39,2.72
1724,0.32,2,4,4,63.0,57.0,561,4.32,4.35,2.73
1725,0.32,1,3,5,61.9,58.0,561,4.36,4.43,2.72
1726,0.32,3,3,5,63.1,57.0,561,4.3,4.35,2.73
1727,0.32,2,4,4,63.0,57.0,561,4.37,4.39,2.76
1728,0.32,0,3,5,61.8,57.0,561,4.37,4.4,2.71
1729,0.32,2,4,4,61.7,58.0,561,4.37,4.41,2.71
1730,0.32,1,4,4,61.7,58.0,561,4.38,4.44,2.72
1731,0.32,2,1,6,60.1,60.0,561,4.42,4.47,2.67
1732,0.32,0,3,5,61.8,55.0,561,4.41,4.42,2.73
1733,0.32,1,3,5,61.7,60.0,561,4.32,4.4,2.69
1734,0.32,3,1,6,63.4,55.0,561,4.35,4.36,2.76
1735,0.32,2,3,5,62.6,58.0,561,4.37,4.39,2.74
1736,0.32,1,3,5,62.3,58.0,561,4.36,4.41,2.73
1737,0.32,0,3,5,61.6,57.0,561,4.39,4.41,2.71
1738,0.32,0,4,4,61.9,55.0,561,4.4,4.42,2.73
1739,0.32,0,4,4,60.2,56.0,561,4.44,4.49,2.69
2040,0.32,3,1,6,63.2,56.0,561,4.35,4.38,2.76
2041,0.32,0,5,3,61.5,56.0,561,4.4,4.42,2.71
2042,0.32,0,4,4,61.3,55.0,561,4.41,4.43,2.71
2043,0.32,1,3,5,61.0,59.0,561,4.42,4.46,2.71
2044,0.32,1,4,4,61.3,60.0,561,4.33,4.38,2.67
2045,0.32,1,3,5,62.3,60.0,561,4.37,4.4,2.73
2046,0.32,0,5,3,62.6,54.0,561,4.37,4.41,2.75
2047,0.32,2,1,6,61.6,56.0,561,4.39,4.41,2.71
2048,0.32,0,3,5,61.8,57.0,561,4.38,4.42,2.72
2049,0.32,2,3,5,62.4,59.0,561,4.33,4.36,2.71
2050,0.32,3,1,6,63.1,56.0,561,4.36,4.39,2.76
2051,0.32,2,4,4,61.7,61.0,561,4.38,4.43,2.72
2052,0.32,1,3,5,62.0,58.0,561,4.33,4.38,2.7
2053,0.32,1,3,5,62.6,59.0,561,4.33,4.36,2.72
2054,0.32,2,1,6,62.8,57.0,561,4.34,4.39,2.74
2055,0.32,1,3,5,62.6,60.0,561,4.33,4.36,2.72
2056,0.32,2,4,4,60.5,59.0,561,4.41,4.42,2.67
2057,0.32,2,1,6,62.2,57.0,561,4.38,4.43,2.74
2058,0.32,1,4,4,60.6,60.0,561,4.4,4.44,2.68
2059,0.32,0,3,5,60.3,57.0,561,4.43,4.46,2.68
2060,0.32,2,1,5,60.5,58.0,561,4.4,4.42,2.67
2061,0.32,2,4,4,62.9,54.0,561,4.37,4.41,2.76
2062,0.32,1,1,6,60.2,60.0,561,4.39,4.44,2.66
2063,0.32,1,3,5,62.1,60.0,561,4.34,4.39,2.71
2064,0.32,1,5,3,61.9,59.0,561,4.35,4.38,2.7
2065,0.32,1,4,4,62.4,58.0,561,4.35,4.4,2.73
2066,0.32,1,3,5,61.5,58.0,561,4.35,4.4,2.69
2067,0.32,0,1,6,61.9,56.0,561,4.39,4.43,2.73
2068,0.32,1,3,5,61.5,60.0,561,4.4,4.42,2.71
2069,0.32,1,1,6,61.9,59.0,561,4.36,4.39,2.71
2370,0.32,0,2,7,61.7,56.0,561,4.41,4.44,2.73
2371,0.32,1,3,5,62.5,58.0,561,4.36,4.38,2.73
2372,0.32,0,3,5,62.0,57.0,561,4.39,4.41,2.73
2373,0.32,0,4,4,61.8,55.0,561,4.41,4.42,2.73
2374,0.32,0,3,5,61.5,57.0,561,4.4,4.41,2.71
2375,0.32,2,4,4,63.0,55.0,561,4.4,4.42,2.78
2376,0.32,1,5,3,62.1,59.0,561,4.35,4.38,2.71
2377,0.32,2,5,3,63.0,57.0,561,4.33,4.37,2.74
2378,0.32,2,3,5,62.8,58.0,561,4.31,4.35,2.72
2379,0.32,1,3,5,60.8,59.0,561,4.41,4.44,2.69
2380,0.32,1,3,5,61.1,58.0,561,4.42,4.45,2.71
2381,0.32,2,3,5,59.9,57.0,561,4.47,4.51,2.69
2382,0.32,2,4,4,62.8,58.0,561,4.35,4.37,2.74
2383,0.32,2,1,6,62.2,58.0,561,4.36,4.39,2.72
2384,0.32,1,1,6,62.3,58.0,561,4.37,4.4,2.73
2385,0.4,3,4,7,63.8,57.0,561,4.67,4.7,2.99
2386,0.32,1,3,5,61.5,60.0,561,4.36,4.39,2.69
2387,0.32,1,3,5,60.7,58.0,561,4.38,4.42,2.67
2388,0.32,1,3,5,61.5,59.0,561,4.4,4.42,2.71
2389,0.32,0,3,5,61.4,57.0,561,4.39,4.4,2.7
2390,0.32,0,3,5,62.0,57.0,561,4.37,4.4,2.72
2391,0.32,0,1,6,61.8,55.0,561,4.42,4.45,2.74
2392,0.32,0,4,4,61.1,56.0,561,4.44,4.46,2.72
2393,0.32,0,3,5,62.5,56.0,561,4.38,4.42,2.75
2394,0.32,2,4,4,62.8,55.0,561,4.35,4.41,2.75
2395,0.32,0,3,5,61.8,55.0,561,4.41,4.43,2.73
2396,0.32,1,3,5,61.2,59.0,561,4.38,4.41,2.69
2397,0.32,2,3,5,62.0,59.0,561,4.37,4.41,2.72
2398,0.26,2,2,2,61.3,58.0,562,4.13,4.16,2.54
2399,0.31,0,3,5,61.7,55.0,562,4.37,4.39,2.7
2700,0.31,0,3,5,62.2,54.0,562,4.38,4.4,2.73
2701,0.31,0,3,5,62.2,54.0,562,4.34,4.38,2.71
2702,0.31,0,3,5,60.8,56.0,562,4.38,4.4,2.67
2703,0.31,0,3,5,61.1,57.0,562,4.37,4.4,2.68
2704,0.31,0,3,5,62.2,53.0,562,4.37,4.38,2.72
2705,0.31,0,4,4,62.0,53.0,562,4.34,4.37,2.7
2706,0.31,0,4,4,61.3,55.0,562,4.36,4.38,2.68
2707,0.39,2,4,7,62.4,59.0,562,4.58,4.65,2.88
2708,0.29,2,2,2,61.5,56.0,563,4.26,4.3,2.63
2709,0.35,0,3,5,61.6,54.0,563,4.55,4.58,2.81
2710,0.31,0,3,6,61.6,55.0,563,4.34,4.37,2.68
2711,0.25,4,0,4,61.2,55.0,563,4.09,4.11,2.51
2712,0.32,2,3,5,60.9,58.0,564,4.42,4.45,2.7
2713,0.32,0,3,5,61.8,55.0,564,4.4,4.43,2.73
2714,0.33,0,4,6,61.7,55.0,564,4.43,4.46,2.74
2715,0.33,0,4,6,60.6,56.0,564,4.46,4.49,2.72
2716,0.3,0,1,6,61.9,57.0,564,4.29,4.32,2.66
2717,0.3,0,1,6,62.3,57.0,564,4.28,4.32,2.68
2718,0.32,3,1,6,62.5,61.0,564,4.32,4.35,2.71
2719,0.26,3,0,3,63.6,56.0,564,4.06,4.09,2.59
2720,0.26,0,1,3,62.5,55.0,564,4.07,4.09,2.55
2722,0.26,2,1,3,60.8,61.0,564,4.12,4.13,2.51
2723,0.26,2,1,3,61.7,61.0,564,4.08,4.12,2.53
2724,0.26,3,2,2,63.3,57.0,564,4.05,4.07,2.57
2725,0.36,0,3,7,61.8,56.0,565,4.58,4.61,2.84
2726,0.34,0,1,6,61.9,55.0,565,4.51,4.53,2.8
2727,0.34,0,1,6,62.6,55.0,565,4.46,4.49,2.8
2728,0.31,0,0,6,61.3,56.0,565,4.36,4.41,2.69
2729,0.31,0,0,6,61.7,55.0,565,4.37,4.41,2.71
3030,0.31,0,0,6,62.2,54.0,565,4.36,4.39,2.72
3031,0.31,0,0,6,61.3,55.0,565,4.36,4.41,2.69
3032,0.26,2,4,3,63.4,55.0,565,4.06,4.05,2.57
3033,0.26,1,4,3,59.8,61.0,565,4.18,4.15,2.49
3034,0.41,3,6,5,64.0,59.0,565,4.64,4.71,2.99
3035,0.31,0,3,3,62.2,55.0,565,4.32,4.36,2.7
3036,0.3,3,3,4,63.4,55.0,565,4.26,4.32,2.72
3037,0.3,3,3,4,63.5,58.0,565,4.21,4.26,2.69
3038,0.3,3,2,5,63.4,59.0,565,4.23,4.25,2.69
3039,0.3,2,3,4,60.2,62.0,565,4.3,4.31,2.59
3040,0.3,3,3,4,63.3,56.0,565,4.28,4.31,2.72
3041,0.3,2,3,4,62.0,60.0,565,4.27,4.31,2.66
3042,0.3,0,2,5,62.4,57.0,565,4.29,4.33,2.69
3043,0.3,2,3,4,60.8,61.0,565,4.31,4.34,2.63
3044,0.27,2,3,2,60.1,58.0,566,4.21,4.23,2.53
3045,0.27,2,3,2,62.9,55.0,566,4.12,4.15,2.6
3046,0.27,2,3,2,62.5,56.0,566,4.14,4.16,2.59
3047,0.27,2,3,2,61.0,56.0,566,4.21,4.25,2.57
3048,0.27,2,3,2,62.9,55.0,566,4.13,4.15,2.6
3049,0.27,2,3,1,60.8,57.0,566,4.2,4.22,2.56
3050,0.27,0,3,3,60.8,57.0,566,4.18,4.2,2.54
3051,0.38,0,3,7,62.8,57.0,566,4.58,4.59,2.88
3052,0.27,0,4,1,61.6,56.0,566,4.18,4.21,2.58
3053,0.27,0,3,1,61.6,57.0,566,4.18,4.21,2.58
3054,0.35,1,4,7,61.6,58.0,566,4.54,4.49,2.78
3055,0.34,1,2,6,59.3,60.0,566,4.52,4.58,2.7
3056,0.34,2,2,6,59.4,62.0,566,4.54,4.59,2.71
3057,0.34,2,2,6,63.0,54.0,566,4.48,4.5,2.83
3058,0.38,2,6,5,60.5,60.0,566,4.64,4.68,2.82
3059,0.34,1,2,6,59.8,58.0,566,4.53,4.57,2.72
3360,0.3,2,5,6,61.2,58.0,405,4.28,4.31,2.63
3361,0.3,0,3,7,60.6,56.0,405,4.35,4.4,2.65
3362,0.31,2,5,5,59.3,59.0,406,4.38,4.42,2.61
3363,0.3,2,5,5,62.7,56.0,407,4.27,4.28,2.68
3364,0.3,2,5,5,60.7,56.0,407,4.32,4.34,2.63
3365,0.25,2,3,5,61.9,57.0,407,4.05,4.08,2.51
3366,0.25,2,3,5,63.0,54.0,407,4.04,4.06,2.55
3367,0.27,2,1,4,63.8,60.0,407,4.03,4.09,2.59
3368,0.27,2,1,6,61.2,57.0,407,4.2,4.23,2.58
3369,0.3,0,5,5,62.3,56.0,407,4.28,4.29,2.67
3370,0.3,0,5,5,62.4,55.0,407,4.32,4.34,2.7
3371,0.32,0,3,7,61.3,56.0,407,4.44,4.47,2.73
3372,0.3,0,4,6,62.0,58.0,407,4.25,4.33,2.66
3373,0.3,0,4,6,62.9,53.0,407,4.28,4.31,2.7
3374,0.25,0,3,6,62.3,57.0,407,4.03,4.09,2.53
3375,0.24,0,2,5,61.8,57.0,408,3.97,3.99,2.46
3376,0.3,0,4,7,60.0,56.0,408,4.41,4.43,2.65
3377,0.31,2,3,7,62.3,57.0,408,4.33,4.37,2.71
3378,0.31,3,3,7,63.2,55.0,408,4.31,4.33,2.73
3379,0.31,1,5,6,61.3,58.0,408,4.34,4.37,2.67
3380,0.31,0,5,6,62.7,56.0,408,4.3,4.34,2.71
3381,0.31,1,6,4,60.7,60.0,408,4.34,4.39,2.65
3382,0.31,2,5,6,61.4,61.0,408,4.34,4.39,2.68
3383,0.31,2,3,7,63.0,57.0,408,4.32,4.35,2.73
3384,0.31,3,5,6,63.5,56.0,408,4.28,4.32,2.73
3385,0.31,2,3,7,61.8,59.0,408,4.3,4.34,2.67
3386,0.31,1,6,4,61.8,59.0,408,4.31,4.33,2.67
3387,0.31,1,5,6,61.5,59.0,408,4.35,4.37,2.68
3388,0.31,2,2,7,63.0,58.0,408,4.34,4.36,2.74
3389,0.31,2,5,6,63.0,57.0,408,4.32,4.34,2.73
3390,0.34,2,2,6,62.8,56.0,566,4.42,4.46,2.79
3391,0.27,2,1,3,59.7,61.0,567,4.24,4.27,2.54
3392,0.27,2,1,3,59.4,64.0,567,4.16,4.19,2.48
3393,0.35,2,4,5,60.1,56.0,567,4.61,4.64,2.78
3394,0.27,2,2,1,59.4,61.0,567,4.23,4.26,2.52
3395,0.32,0,5,3,62.2,54.5,567,4.38,4.42,2.74
3396,0.32,0,5,3,62.0,54.9,567,4.36,4.39,2.71
3397,0.3,0,4,3,62.5,54.0,567,4.3,4.3,2.7
3398,0.3,0,2,5,62.6,54.0,567,4.3,4.33,2.7
3399,0.3,2,5,4,61.8,63.0,567,4.29,4.26,2.64
3400,0.3,1,5,4,61.6,61.0,567,4.28,4.23,2.62
3401,0.28,1,2,5,59.6,61.0,567,4.28,4.25,2.54
3402,0.27,1,0,5,59.6,61.0,567,4.26,4.23,2.53
3403,0.4,3,6,4,64.0,56.0,567,4.66,4.69,2.99
3404,0.31,3,0,5,63.6,56.0,567,4.26,4.32,2.73
3405,0.33,3,0,6,63.1,55.0,567,4.38,4.4,2.77
3406,0.33,3,0,6,63.1,55.0,567,4.42,4.46,2.8
3407,0.33,0,0,6,62.0,56.0,567,4.44,4.47,2.76
3408,0.3,0,2,5,60.3,57.0,568,4.34,4.39,2.63
3409,0.3,0,2,5,62.1,57.0,568,4.27,4.3,2.66
3410,0.38,0,2,7,61.3,55.0,568,4.67,4.69,2.87
3411,0.38,0,2,7,62.0,55.0,568,4.67,4.69,2.9
3412,0.38,0,2,7,60.9,56.0,568,4.69,4.74,2.87
3413,0.39,0,6,6,61.0,56.0,568,4.71,4.73,2.88
3414,0.31,0,2,6,61.2,55.0,568,4.37,4.4,2.68
